1	9.912480
2	9.958132
3	10.003830
4	10.049590
5	10.095425
6	10.141349
7	10.187373
8	10.233507
9	10.279762
10	10.326145
11	10.372664
12	10.419328
13	10.466141
14	10.513111
15	10.560242
16	10.607540
17	10.655009
18	10.702653
19	10.750476
20	10.798483
21	10.846675
22	10.895057
23	10.943630
24	10.992399
25	11.041364
26	11.090529
27	11.139895
28	11.189466
29	11.239242
30	11.289225
31	11.339417
32	11.389821
33	11.440437
34	11.491266
35	11.542312
36	11.593574
37	11.645054
38	11.696754
39	11.748675
40	11.800818
41	11.853184
42	11.905774
43	11.958591
44	12.011634
45	12.064905
46	12.118405
47	12.172135
48	12.226097
49	12.280291
50	12.334719
51	12.389381
52	12.444278
53	12.499412
54	12.554784
55	12.610395
56	12.666245
57	12.722337
58	12.778670
59	12.835245
60	12.892065
61	12.949130
62	13.006441
63	13.063998
64	13.121804
65	13.179859
66	13.238164
67	13.296720
68	13.355529
69	13.414590
70	13.473906
71	13.533477
72	13.593305
73	13.653390
74	13.713734
75	13.774337
76	13.835200
77	13.896326
78	13.957714
79	14.019366
80	14.081283
81	14.143466
82	14.205916
83	14.268634
84	14.331621
85	14.394879
86	14.458408
87	14.522209
88	14.586284
89	14.650634
90	14.715260
